Toyota,Nissan,Mazda,Honda,Mitsubishi,Porsche,Hyundai
"771,382","270,833","363,354",349166,84166,26706,350833
265833333$,47333333$,208333333$,11833333333$,117641666$,46833333$,1033333333$
